Price,Income,Distance,Shirota,Fed,Population
20.09,3587.966667,820,55,pfo,3902
20.1,8435.675,820,55,pfo,3902
20.11,3532.325,820,55,pfo,3902
20.12,7690.3,820,55,pfo,3902
20.14,10159.25,820,55,pfo,3902
20.14,5526.016667,820,55,pfo,3902
20.15,7167.566667,820,55,pfo,3902
20.15,8400.8,820,55,pfo,3902
20.16,7533.5,820,55,pfo,3902
20.16,6310.366667,820,55,pfo,3902
20.16,6915.35,820,55,pfo,3902
20.17,8294.225,440,56,pfo,3159
20.17,5648.333333,820,55,pfo,3902
20.18,9068.125,820,55,pfo,3902
20.18,7656.525,820,55,pfo,3902
20.19,7216.308333,820,55,pfo,3902
20.19,6191.125,820,55,pfo,3902
20.2,11439.8,820,55,pfo,3902
20.2,8675.9,820,55,pfo,3902
20.21,7683.1,820,55,pfo,3902
20.22,8111.7,440,56,pfo,3159
20.22,9936.95,440,56,pfo,3159
20.23,7794.775,820,55,pfo,3902
20.23,6071.883333,820,55,pfo,3902
20.23,5323.525,820,55,pfo,3902
20.23,8546.625,820,55,pfo,3902
20.24,6429.608333,820,55,pfo,3902
20.24,9420.725,820,55,pfo,3902
20.27,4394.825,820,55,pfo,3902
20.28,5331.183333,820,55,pfo,3902
20.29,4905.766667,440,56,pfo,3159
20.29,3006.1,820,55,pfo,3902
20.3,7802.15,820,55,pfo,3902
20.31,11250.375,820,55,pfo,3902
20.31,6935.1,820,55,pfo,3902
20.31,3062.333333,820,55,pfo,3902
20.32,4567.591667,820,55,pfo,3902
20.33,11194.8,820,55,pfo,3902
20.33,8927.375,820,55,pfo,3902
20.33,12309.05,820,55,pfo,3902
20.34,8552.883333,820,55,pfo,3902
20.34,5501.241667,820,55,pfo,3902
20.35,6928.4,820,55,pfo,3902
20.37,4683.933333,820,55,pfo,3902
20.37,7074.025,820,55,pfo,3902
20.37,6845.866667,820,55,pfo,3902
20.38,6636.291667,820,55,pfo,3902
20.39,7980.175,440,56,pfo,3159
20.39,8530.275,820,55,pfo,3902
20.39,7740.6,820,55,pfo,3902
20.42,4918.583333,820,55,pfo,3902
20.42,7832.7,820,55,pfo,3902
20.42,6750.3,820,55,pfo,3902
20.42,5225.466667,820,55,pfo,3902
20.42,9308.125,820,55,pfo,3902
20.42,9042.7,820,55,pfo,3902
20.43,11754.88333,820,55,pfo,3902
20.43,5952.641667,820,55,pfo,3902
20.45,7849.866667,820,55,pfo,3902
20.46,8730.3,820,55,pfo,3902
20.46,9650.666667,820,55,pfo,3902
20.46,9117.75,820,55,pfo,3902
20.48,5896.458333,9170,43,dfo,1828
20.48,10377.475,820,55,pfo,3902
20.48,7530.733333,820,55,pfo,3902
20.5,12539,820,55,pfo,3902
20.51,5833.4,820,55,pfo,3902
20.51,6818.283333,820,55,pfo,3902
20.51,6080.05,820,55,pfo,3902
20.53,5432.275,820,55,pfo,3902
20.54,8275.45,820,55,pfo,3902
20.55,8647.7,820,55,pfo,3902
20.56,8384.65,820,55,pfo,3902
20.58,11684.8,820,55,pfo,3902
20.58,8580.7,820,55,pfo,3902
20.59,8488.133333,820,55,pfo,3902
20.6,8115.225,820,55,pfo,3902
20.61,9754.425,440,56,pfo,3159
20.61,5068.3,820,55,pfo,3902
20.63,5395.333333,820,55,pfo,3902
20.64,8239.025,820,55,pfo,3902
20.65,6588.4,820,55,pfo,3902
20.67,6472.016667,820,55,pfo,3902
20.69,9212.033333,820,55,pfo,3902
20.7,4762.15,820,55,pfo,3902
20.7,4840.366667,820,55,pfo,3902
20.72,5040.05,820,55,pfo,3902
20.74,8169,820,55,pfo,3902
20.74,5229.033333,820,55,pfo,3902
20.74,9879.25,820,55,pfo,3902
20.75,5134.541667,820,55,pfo,3902
20.75,6377.816667,820,55,pfo,3902
20.76,4662.083333,820,55,pfo,3902
20.76,8165.875,820,55,pfo,3902
20.76,10260,820,55,pfo,3902
20.77,5686.575,9170,43,dfo,1828
20.77,8356.25,820,55,pfo,3902
20.78,8852.85,820,55,pfo,3902
20.78,12079.1,820,55,pfo,3902
20.79,12664.8,820,55,pfo,3902
20.79,9058,820,55,pfo,3902
20.8,8431.1,820,55,pfo,3902
20.8,11109.5,820,55,pfo,3902
20.81,6892.466667,820,55,pfo,3902
20.81,7905.65,820,55,pfo,3902
20.82,6270.833333,820,55,pfo,3902
20.82,10949.8,820,55,pfo,3902
20.83,7264.3,820,55,pfo,3902
20.84,10501.875,820,55,pfo,3902
20.85,5793.1,9170,43,dfo,1828
20.85,6371.425,1240,64,szfo,978
20.85,6548.85,1240,64,szfo,978
20.86,5289.425,1240,64,szfo,978
20.87,7366.8,1240,64,szfo,978
20.87,9557.7,1240,64,szfo,978
20.88,5999.816667,9170,43,dfo,1828
20.88,6708.166667,1240,64,szfo,978
20.89,10239.5,1240,64,szfo,978
20.9,6831.508333,1240,64,szfo,978
20.9,4318.6,1240,64,szfo,978
20.9,6956.533333,1240,64,szfo,978
20.91,8070.7,1240,64,szfo,978
20.92,5077.608333,1240,64,szfo,978
20.93,10069.625,1240,64,szfo,978
20.94,7955,1240,64,szfo,978
20.94,8730.808333,1240,64,szfo,978
20.94,7758.95,1240,64,szfo,978
20.95,4945.558333,1240,64,szfo,978
20.95,7938.825,1240,64,szfo,978
20.97,12909.8,1240,64,szfo,978
20.97,8118.7,1240,64,szfo,978
20.97,9197.95,1240,64,szfo,978
20.97,7298.2,1240,64,szfo,978
20.97,11849.15,1240,64,szfo,978
20.98,13154.8,1240,64,szfo,978
20.98,8235.75,1240,64,szfo,978
20.98,8478.45,1240,64,szfo,978
20.99,8298.575,1240,64,szfo,978
20.99,9377.825,1240,64,szfo,978
21,8328.566667,9170,43,dfo,1828
21,7399.2,9170,43,dfo,1828
21.01,7975.5,1240,64,szfo,978
21.02,9263.15,1240,64,szfo,978
